,budget,genre,imdb_score,index,movie_title
166,165000000.0,Action,7.9,166,Big Hero 6
167,250000000.0,Action,8.2,167,Captain America: Civil War
168,170000000.0,Action,7.8,168,Captain America: The Winter Soldier
169,170000000.0,Action,7.6,169,Dawn of the Planet of the Apes
170,58000000.0,Action,8.1,170,Deadpool
171,178000000.0,Action,7.9,171,Edge of Tomorrow
172,68000000.0,Action,7.6,172,Fury
173,170000000.0,Action,8.1,173,Guardians of the Galaxy
174,145000000.0,Action,7.9,174,How to Train Your Dragon 2
175,165000000.0,Action,8.2,175,How to Train Your Dragon
176,160000000.0,Action,8.8,176,Inception
177,30000000.0,Action,7.7,177,Kick-Ass
178,40000000.0,Action,7.6,178,Lone Survivor
179,150000000.0,Action,8.1,179,Mad Max: Fury Road
180,93000000.0,Action,7.6,180,Rise of the Planet of the Apes
181,38000000.0,Action,8.1,181,Rush
182,60000000.0,Action,7.5,182,Scott Pilgrim vs. the World
183,30000000.0,Action,7.6,183,Sicario
184,200000000.0,Action,7.8,184,Skyfall
185,200000000.0,Action,7.8,185,Skyfall
186,190000000.0,Action,7.8,186,Star Trek Into Darkness
187,220000000.0,Action,8.1,187,The Avengers
188,220000000.0,Action,8.1,188,The Avengers
189,250000000.0,Action,8.5,189,The Dark Knight Rises
190,25000000.0,Action,7.9,190,The Fighter
191,130000000.0,Action,7.6,191,The Hunger Games: Catching Fire
192,60000000.0,Action,7.8,192,The Lego Movie
193,25000000.0,Action,8.2,193,Warrior
194,200000000.0,Action,8.0,194,X-Men: Days of Future Past
195,160000000.0,Action,7.8,195,X-Men: First Class
196,20000000.0,Biography,8.1,196,12 Years a Slave
197,18000000.0,Biography,7.6,197,127 Hours
198,44500000.0,Biography,7.7,198,Argo
199,55000000.0,Biography,7.9,199,Captain Phillips
200,5000000.0,Biography,8.0,200,Dallas Buyers Club
201,40000000.0,Biography,7.6,201,Lone Survivor
202,50000000.0,Biography,7.6,202,Moneyball
203,12000000.0,Biography,7.6,203,Philomena
204,38000000.0,Biography,8.1,204,Rush
205,28000000.0,Biography,7.9,205,Straight Outta Compton
206,28000000.0,Biography,7.8,206,The Big Short
207,25000000.0,Biography,7.9,207,The Fighter
208,14000000.0,Biography,8.1,208,The Imitation Game
209,15000000.0,Biography,8.0,209,The King's Speech
210,40000000.0,Biography,7.7,210,The Social Network
211,15000000.0,Biography,7.7,211,The Theory of Everything
212,100000000.0,Biography,8.2,212,The Wolf of Wall Street
213,18000000.0,Adventure,7.6,213,127 Hours
214,165000000.0,Adventure,7.9,214,Big Hero 6
215,250000000.0,Adventure,8.2,215,Captain America: Civil War
216,170000000.0,Adventure,7.8,216,Captain America: The Winter Soldier
217,170000000.0,Adventure,7.6,217,Dawn of the Planet of the Apes
218,58000000.0,Adventure,8.1,218,Deadpool
219,69000000.0,Adventure,7.7,219,Despicable Me
220,178000000.0,Adventure,7.9,220,Edge of Tomorrow
221,170000000.0,Adventure,8.1,221,Guardians of the Galaxy
222,145000000.0,Adventure,7.9,222,How to Train Your Dragon 2
223,165000000.0,Adventure,8.2,223,How to Train Your Dragon
224,170000000.0,Adventure,7.5,224,Hugo
225,160000000.0,Adventure,8.8,225,Inception
226,175000000.0,Adventure,8.3,226,Inside Out
227,165000000.0,Adventure,8.6,227,Interstellar
228,150000000.0,Adventure,8.1,228,Mad Max: Fury Road
229,16000000.0,Adventure,7.8,229,Moonrise Kingdom
230,12000000.0,Adventure,7.8,230,Nebraska
231,200000000.0,Adventure,7.8,231,Skyfall
232,200000000.0,Adventure,7.8,232,Skyfall
233,190000000.0,Adventure,7.8,233,Star Trek Into Darkness
234,260000000.0,Adventure,7.8,234,Tangled
235,25000000.0,Adventure,8.1,235,The Grand Budapest Hotel
236,180000000.0,Adventure,7.9,236,The Hobbit: An Unexpected Journey
237,225000000.0,Adventure,7.9,237,The Hobbit: The Desolation of Smaug
238,130000000.0,Adventure,7.6,238,The Hunger Games: Catching Fire
239,60000000.0,Adventure,7.8,239,The Lego Movie
240,81200000.0,Adventure,7.8,240,The Little Prince
241,108000000.0,Adventure,8.1,241,The Martian
242,135000000.0,Adventure,8.1,242,The Revenant
243,200000000.0,Adventure,8.3,243,Toy Story 3
244,38000000.0,Adventure,7.7,244,True Grit
245,165000000.0,Adventure,7.8,245,Wreck-It Ralph
246,200000000.0,Adventure,8.0,246,X-Men: Days of Future Past
247,160000000.0,Adventure,7.8,247,X-Men: First Class
248,3300000.0,Music,8.5,248,Whiplash
