,movie_title,avg_rating,total_votes,genre1,genre2,genre3,#_10s,#_9s,#_8s,#_7s,#_6s,#_5s,#_4s,#_3s,#_2s,#_1s,#_male_votes,#_female_votes,#_u18,#_u18m,#_u18f,#_18-29,#_18-29m,#_18-29f,#_30-44,#_30-44m,#_30-44f,#_a45,#_a45m,#_a45f,#_votes_top1000users,#_votes_inUS,#_votes_notUS,avgr_male,avgr_female,avgr_u18,avgr_u18m,avgr_u18f,avgr_18-29,avgr_18-29m,avgr_18-29f,avgr_30-44,avgr_30-44m,avgr_30-44f,avgr_a45,avgr_a45m,avgr_a45f,avgr_imdbstaff,avgr_top1000users,avgr_US_users,avgr_notUD_users,director_name,actor_2_name,gross,actor_1_name,#_voted_users,actor_3_name,language,country,budget,title_year,imdb_score
21,Drive,7.8,"467,642",Crime,Drama,,74421,96998,130187,82653,38557,17321,9132,5694,4114,8576,336319,64201,862,711,143,183472,149002,32549,176080,148869,24691,27894,23441,3905,737,70338,247150.0,7.9,7.6,8.5,8.5,7.9,7.9,8.0,7.6,7.7,7.8,7.5,7.4,7.4,7.4,7.8,7.6,8.0,7.8,Nicolas Winding Refn,Albert Brooks,35054909.0,Ryan Gosling,431578,Russ Tamblyn,English,USA,15000000.0,2011.0,7.8
22,Edge of Tomorrow,7.9,"480,513",Action,Adventure,Sci-Fi,60383,99596,175961,100724,28982,8145,2858,1368,857,1661,341199,45790,1893,1584,292,172016,148814,21495,157476,138752,16463,30965,26562,3820,691,55486,217557.0,7.9,7.8,8.2,8.1,8.2,8.0,8.0,7.8,7.8,7.8,7.7,7.8,7.8,7.8,8.1,7.5,8.0,7.8,Doug Liman,Lara Pulver,100189501.0,Tom Cruise,431620,Noah Taylor,English,USA,178000000.0,2014.0,7.9
23,End of Watch,7.7,"194,675",Crime,Drama,Thriller,20733,32267,68590,46486,15489,5370,2235,1186,805,1521,147679,17678,261,235,22,70095,62195,7250,73097,64952,7265,13479,11530,1719,537,32761,94643.0,7.6,7.6,7.9,7.9,7.8,7.8,7.8,7.7,7.5,7.5,7.5,7.4,7.4,7.5,7.9,6.5,7.7,7.6,David Ayer,Anna Kendrick,40983001.0,Jake Gyllenhaal,181025,America Ferrera,English,USA,7000000.0,2012.0,7.7
24,Ex Machina,7.7,"348,550",Drama,Mystery,Sci-Fi,29780,64769,123938,82736,28662,9579,3806,1951,1165,2182,237599,41160,1154,899,242,126754,103143,22173,113021,97929,13354,23940,20773,2697,611,42556,164526.0,7.8,7.5,8.0,8.1,7.8,7.9,7.9,7.6,7.6,7.6,7.4,7.6,7.6,7.4,8.2,7.5,7.9,7.7,Alex Garland,Sonoya Mizuno,25440971.0,Elina Alminas,289508,Corey Johnson,English,UK,15000000.0,2015.0,7.7
25,Flipped,7.7,"66,461",Comedy,Drama,Romance,11354,11050,20808,14372,5412,1848,664,321,230,402,33714,22540,320,108,207,32475,16916,15217,18576,12982,5338,3399,2616,721,275,7362,36050.0,7.6,7.9,8.0,7.6,8.3,7.9,7.8,8.0,7.5,7.5,7.7,7.4,7.3,7.6,7.5,6.4,7.5,7.7,Rob Reiner,Rebecca De Mornay,1752214.0,Madeline Carroll,60460,Aidan Quinn,English,USA,14000000.0,2010.0,7.7
26,Fury,7.6,"337,571",Action,Drama,War,36753,54703,111271,82505,30231,10553,4303,2388,1629,3246,238800,30746,1234,1028,196,127986,110868,15886,99386,88611,9444,21524,18781,2392,548,35750,148301.0,7.6,7.6,8.0,8.0,8.3,7.7,7.7,7.7,7.4,7.4,7.4,7.4,7.4,7.4,7.2,6.8,7.6,7.5,David Ayer,Logan Lerman,85707116.0,Brad Pitt,303185,Jim Parrack,English,USA,68000000.0,2014.0,7.6
27,Gone Girl,8.1,"649,474",Crime,Drama,Mystery,89539,177373,218018,103600,32989,11691,5285,3262,2247,5500,397571,113606,2286,1598,665,260425,193602,64291,179552,144771,32133,34696,27226,6840,689,70667,280587.0,8.1,8.1,8.5,8.6,8.4,8.3,8.3,8.2,7.9,8.0,7.9,7.7,7.7,7.7,8.2,7.6,8.1,8.1,David Fincher,Sela Ward,167735396.0,Patrick Fugit,569841,Emily Ratajkowski,English,USA,61000000.0,2014.0,8.1
28,Gravity,7.8,"630,890",Drama,Sci-Fi,Thriller,89986,127616,169693,122275,57564,25393,12286,7868,5751,12473,427135,87618,2173,1684,468,233044,186837,43833,203844,171281,29467,44088,36531,6764,771,76797,292714.0,7.8,7.5,7.5,7.6,7.4,7.8,7.9,7.5,7.8,7.8,7.5,7.7,7.7,7.5,8.4,7.5,7.9,7.8,Alfonso Cuarón,Basher Savage,274084951.0,Phaldut Sharma,582917,Amy Warren,English,UK,100000000.0,2013.0,7.8
29,Guardians of the Galaxy,8.1,"778,220",Action,Adventure,Sci-Fi,156606,185326,216876,127878,49009,18501,8326,4772,3243,7714,491689,101957,5154,3949,1170,288707,231018,54884,207895,176032,28924,42006,34512,6802,774,97905,296439.0,8.0,8.1,8.4,8.4,8.5,8.1,8.1,8.1,7.9,7.9,8.0,7.9,7.9,8.0,8.3,7.6,8.3,7.9,James Gunn,Vin Diesel,333130696.0,Bradley Cooper,682155,Djimon Hounsou,English,USA,170000000.0,2014.0,8.1
30,Her,8.0,"398,431",Drama,Romance,Sci-Fi,61098,95920,117761,67804,27718,11647,5673,3517,2464,4841,252724,72611,1193,851,330,167097,123183,42078,119227,95815,21544,21741,17515,3770,612,48466,188937.0,8.0,7.8,8.5,8.6,8.0,8.2,8.2,7.9,7.8,7.8,7.6,7.4,7.4,7.0,7.7,7.3,8.1,7.9,Spike Jonze,Brian Johnson,25556065.0,Scarlett Johansson,355126,Matt Letscher,English,USA,23000000.0,2013.0,8.0
